Number of inputs: 2, Factor: 0.5, OK!
Number of inputs: 20, Factor: 10, FAILED!
Number of inputs: 25, Factor: 0.5, OK!
Number of inputs: 25, Factor: 1, OK!
Number of inputs: 25, Factor: 2, OK!
Number of inputs: 25, Factor: 5, OK!
Number of inputs: 25, Factor: 10, FAILED!
Number of inputs: 30, Factor: 0.5, OK!
Number of inputs: 30, Factor: 1, OK!
Number of inputs: 30, Factor: 2, OK!
Number of inputs: 30, Factor: 5, OK!
Number of inputs: 30, Factor: 10, FAILED!
Number of inputs: 40, Factor: 0.5, OK!
Number of inputs: 40, Factor: 1, OK!
Number of inputs: 40, Factor: 2, OK!
Number of inputs: 40, Factor: 5, OK!
Number of inputs: 40, Factor: 10, FAILED!
Number of inputs: 50, Factor: 0.5, OK!
Number of inputs: 50, Factor: 1, OK!
Number of inputs: 50, Factor: 2, OK!
Number of inputs: 50, Factor: 5, OK!
Number of inputs: 50, Factor: 10, FAILED!
Number of inputs: 60, Factor: 0.5, OK!
Number of inputs: 60, Factor: 1, OK!
Number of inputs: 60, Factor: 2, OK!
Number of inputs: 60, Factor: 5, OK!
Number of inputs: 60, Factor: 10, FAILED!
Number of inputs: 2, Factor: 0.5, OK!
Number of inputs: 2, Factor: 1, OK!
Number of inputs: 2, Factor: 2, OK!
Number of inputs: 2, Factor: 5, OK!
Number of inputs: 2, Factor: 10, FAILED!
Number of inputs: 3, Factor: 0.5, OK!
Number of inputs: 3, Factor: 1, OK!
Number of inputs: 3, Factor: 2, OK!
Number of inputs: 3, Factor: 5, OK!
Number of inputs: 3, Factor: 10, FAILED!
Number of inputs: 5, Factor: 0.5, OK!
Number of inputs: 5, Factor: 1, OK!
Number of inputs: 5, Factor: 2, OK!
Number of inputs: 5, Factor: 5, OK!
Number of inputs: 5, Factor: 10, FAILED!
Number of inputs: 10, Factor: 0.5, OK!
Number of inputs: 10, Factor: 1, OK!
Number of inputs: 10, Factor: 2, OK!
Number of inputs: 10, Factor: 5, OK!
Number of inputs: 10, Factor: 10, FAILED!
Number of inputs: 15, Factor: 0.5, OK!
Number of inputs: 15, Factor: 1, OK!
Number of inputs: 15, Factor: 2, OK!
Number of inputs: 15, Factor: 5, OK!
Number of inputs: 15, Factor: 10, FAILED!
Number of inputs: 20, Factor: 0.5, OK!
Number of inputs: 20, Factor: 1, OK!
Number of inputs: 20, Factor: 2, OK!
Number of inputs: 20, Factor: 5, OK!
Number of inputs: 20, Factor: 10, FAILED!
Number of inputs: 25, Factor: 0.5, OK!
Number of inputs: 25, Factor: 1, OK!
Number of inputs: 25, Factor: 2, OK!
Number of inputs: 25, Factor: 5, OK!
Number of inputs: 25, Factor: 10, FAILED!
Number of inputs: 30, Factor: 0.5, OK!
Number of inputs: 30, Factor: 1, OK!
Number of inputs: 30, Factor: 2, OK!
Number of inputs: 30, Factor: 5, OK!
Number of inputs: 30, Factor: 10, FAILED!
Number of inputs: 40, Factor: 0.5, OK!
Number of inputs: 40, Factor: 1, OK!
Number of inputs: 40, Factor: 2, OK!
Number of inputs: 40, Factor: 5, OK!
Number of inputs: 40, Factor: 10, FAILED!
Number of inputs: 50, Factor: 0.5, OK!
Number of inputs: 50, Factor: 1, OK!
Number of inputs: 50, Factor: 2, OK!
Number of inputs: 50, Factor: 5, OK!
Number of inputs: 50, Factor: 10, FAILED!
Number of inputs: 60, Factor: 0.5, OK!
Number of inputs: 60, Factor: 1, OK!
Number of inputs: 60, Factor: 2, OK!
Number of inputs: 60, Factor: 5, OK!
Number of inputs: 60, Factor: 10, FAILED!
